Name: “Table 1 of 1 on page 109 of 142”,Name: “Table 1 of 1 on page 109 of 142”,Name: “Table 1 of 1 on page 109 of 142”,Name: “Table 1 of 1 on page 109 of 142”,Name: “Table 1 of 1 on page 109 of 142”
Table: 109,Table: 109,Table: 109,Table: 109,Table: 109
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
HELOPELOPIA,,S,0128131,64894204
HELOPHORUS,,,0113106,63090322
HEMERODROMIA,,,0136327,64947702
HEMIPTERA,TRUE BUGS,,0103359,6271
HEPTAGENIA,,,0100602,62160110
HEPTAGENIIDAE,,,0100504,621601
HETAERINA,,,0102048,62290203
HETAERINA AMERICANA,,,0102050,6229020302
HETEROCLOEON,,SA,0100794,62160214
HETEROCLOEON CURIOSUM,,SA,0100796,6216021401
HETEROSTERNUS,,S,0112391,63050642
HETEROTANYTARSUS,,,0128734,64895629
HETEROTRISSOCLADIUS,,SA,0128737,64895630
HETEROTRISSOCOLA,,S,0128738,64895630
HEXAGENIA,BURROWING MAYFLY,,0101537,62200303
HEXAGENIA BILINEATA,,,0101538,6220030303
HEXAGENIA LIMBATA,,,0101552,6220030307
HEXATOMA,,SA,0120094,64830606
HOMOSTETHUS,,S,0112941,63090313
HUGOSCOTTIA,,S,0112977,63090315
HYDRAMARA,,S,0113198,63090328
HYDROBAENUS,TRISSOCLADIUS-OLD NAME,SA,0128750,64895631
HYDROBAENUS PARADORENUS,,S,0128924,6489564231
HYDROBIUS,,SA,0113196,63090328
HYDROCHUS,,,0113166,63090326
HYDROCOMBUS,,S,0113151,63090324
HYDROCYCLUS,,S,0113197,63090328
HYDRONAUTIA,,S,0116907,64181501
HYDROPHILIDAE,WATER SCAVENGER BEETLES,,0112811,630903
HYDROPORUS,,SA,0112390,63050642
HYDROPSYCHE,,,0115453,64180403
HYDROPSYCHE BETTENI,,,0115454,6418040301
HYDROPSYCHE BRONTA,,S,0115578,6418041203
HYDROPSYCHE BRUNNEIPENNIS,,,0115459,6418040309
HYDROPSYCHE DECALDA,,,0115462,6418040313
HYDROPSYCHE DICANTHA,,,0115465,6418040316
HYDROPSYCHE HAGENI,,,0115469,6418040320
HYDROPSYCHE HOFFMANI,,,0115470,6418040321
HYDROPSYCHE INCOMMODA,,,0115471,6418040322
HYDROPSYCHE KANSENSIS,,S,0115553,6418040901
HYDROPSYCHE LEONARDI,,,0115472,6418040323
HYDROPSYCHE MACULICORNIS,,S,0115595,6418041207
HYDROPSYCHE MOROSA,,S,0115581,6418041204
HYDROPSYCHE OPTHALMICA,,,0115475,6418040327
HYDROPSYCHE PHALERATA,,,0115477,6418040329
HYDROPSYCHE SCALARIS,,,0115480,6418040332
HYDROPSYCHE SLOSSONAE,,S,0115587,6418041205
HYDROPSYCHE SPARSA,,S,0115591,6418041206
HYDROPSYCHE VENULARIS,,,0115484,6418040338
HYDROPSYCHE WALKERI,,S,0115593,6418041207
HYDROPSYCHIDAE,NET-SPINNING CADDISFLIES,,0115398,641804
HYDROPTILA,,SA,0115641,64180503
HYDROPTILA AJAX,,,0115643,6418050301
HYDROPTILA CONSIMILIS,,,0115647,6418050305
HYDROPTILA DELINEATA,,,0115649,6418050307
HYDROPTILA GUNDA,,,0115665,6418050323
HYDROPTILA HAMATA,,,0115650,6418050308
HYDROPTILA MACULATA,,,0115699,6418050357
HYDROPTILA PERDITA,,,0115660,6418050318
,99,,,
