Name: “Table 1 of 1 on page 88 of 142”,Name: “Table 1 of 1 on page 88 of 142”,Name: “Table 1 of 1 on page 88 of 142”,Name: “Table 1 of 1 on page 88 of 142”,Name: “Table 1 of 1 on page 88 of 142”
Table: 88,Table: 88,Table: 88,Table: 88,Table: 88
,,,,
,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,A Comprehensive List of Chesapeake Bay Basin Species 2007,
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
MACROTHRIX LATICORNIS,,,0084121,6109080103
MOINA,,,0084163,61090901
MOINA AFFINIS,,,0084171,6109090103
MOINA BRACHIATA,,,0084176,6109090107
MOINA FLAGELLATA,,S,0084167,6109090102
MOINA MACROCOPA,,SA,0084165,6109090102
MOINA MICRURA,,,0084164,6109090101
MOINA PARADOXA,,S,0084168,6109090102
MOINODAPHNIA,,,0084189,61090902
MONOSPILUS DISPAR,,,0084032,6109070701
OFRYOXUS GRACILIS,,,0084131,6109080401
PENILIA AVIROSTRIS,,,0083836,6109010101
PLEUROXUS,,,0084044,61090709
PLEUROXUS DENTICULATUS,,,0084045,6109070901
PLEUROXUS STRIATUS,,,0084049,6109070904
PODON INTERMEDIUS,,,0083965,6109050201
PODON POLYPHEMOIDES,,,0083967,6109050203
POLYPHEMIDAE,,,0083959,610905
POLYPHEMUS PEDICULUS,,,0083969,6109050301
PSEUDOCHYDORUS,,,0084029,61090706
PSEUDOSIDA BIDENTATA,,,0083868,6109010501
RHYNCHOTALONA,,,0084068,61090713
SCAPHOLEBERIS KINGI,,,0083923,6109020502
SIDA CRYSTALLINA,,,0083863,6109010301
SIDIDAE,,,0083834,610901
SIMOCEPHALUS,,,0083899,61090202
STREBLOCERUS SERRICAUDATUS,,,0084127,6109080301
,OSTRACODA - OSTRACODS,,,
(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum
,Uniramia [Mandibulata]:Class Crustacea:Subclass Ostracoda),Uniramia [Mandibulata]:Class Crustacea:Subclass Ostracoda),Uniramia [Mandibulata]:Class Crustacea:Subclass Ostracoda),
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
CYPRIA,,,0084481,61130302
CYPRIDOPSIS,,,0085213,61133001
CYTHERIDAE,,,0084662,611308
EUSARSIELLA,,,0084300,61110404
EUSARSIELLA ZOSTERICOLA,,,0205822,61110404ZOST
HAPLOCYTHERIDEA SETIPUNCTATA,,,0084736,6113120801
OSTRACODA,OSTRACODS,,0084195,6110
PARASARSIELLA,,,0084318,61110408
PARASTEROPE POLLEX,,,0084233,6111030501
SARSIELLA,,,0084274,61110401
SARSIELLA TEXANA,,,0084276,6111040101
SARSIELLA ZOSTERICOLA,,,0084277,6111040102
,COPEPODA - COPEPODS,,,
(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum,(Kingdom Animalia:Subkingdom Eumetazoa:Section Protostomia:Phylum Arthropoda:Subphylum
,Uniramia [Mandibulata]:Class Crustacea:Subclass Copepoda),Uniramia [Mandibulata]:Class Crustacea:Subclass Copepoda),Uniramia [Mandibulata]:Class Crustacea:Subclass Copepoda),
LATIN NAME,COMMON NAME,SYN,TSN,NODC CODE
ABACOLA HOLOTHURIAE,,S,0086893,6119160102
ACANTHOCYCLOPS,,,0088762,61200812
ACANTHOCYCLOPS VERNALIS,,SA,0088770,6120081206
ACARTIA,,,0086084,61182901
,78,,,
