Name: “Table 1 of 1 on page 32 of 156”,Name: “Table 1 of 1 on page 32 of 156”,Name: “Table 1 of 1 on page 32 of 156”,Name: “Table 1 of 1 on page 32 of 156”,Name: “Table 1 of 1 on page 32 of 156”,Name: “Table 1 of 1 on page 32 of 156”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,
General Population,,,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region,Chesapeake Bay Watershed and Its Region
Projected Population Change,Projected Population Change,Projected Population Change,Projected Population Change,Projected Population Change,
,,"Chenango, NY",3.6,"Huntingdon, PA",9.6
projected % change in,projected % change in,,,,
total number of people (2005-2025),total number of people (2005-2025),"Cortland, NY",2.3,"Indiana, PA",2.8
,,"Delaware, NY",1.1,"Jefferson, PA",6.2
"Kent, DE",21.9,"Herkimer, NY",0.9,"Juniata, PA",18.3
"New Castle, DE",19.5,"Livingston, NY",12.7,"Lackawanna, PA",1.0
"Sussex, DE",30.7,"Madison, NY",6.4,"Lancaster, PA",17.2
"District of Columbia, DC",-3.2,"Montgomery, NY",-0.4,"Lebanon, PA",12.1
"Allegany, MD",4.6,"Oneida, NY",-2.7,"Luzerne, PA",0.9
"Anne Arundel, MD",37.0,"Onondaga, NY",-1.0,"Lycoming, PA",2.9
"Baltimore, MD",15.9,"Ontario, NY",6.4,"McKean, PA",0.3
"Calvert, MD",61.0,"Otsego, NY",7.3,"Mifflin, PA",5.3
"Caroline, MD",21.5,"Schoharie, NY",5.2,"Montour, PA",16.9
"Carroll, MD",47.5,"Schuyler, NY",7.9,"Northumberland, PA",-3.0
"Cecil, MD",36.3,"Steuben, NY",-5.4,"Perry, PA",25.4
"Charles, MD",44.9,"Tioga, NY",3.3,"Potter, PA",5.3
"Dorchester, MD",6.8,"Tompkins, NY",5.5,"Schuylkill, PA",-0.9
"Frederick, MD",48.2,"Yates, NY",7.3,"Snyder, PA",15.9
"Garrett, MD",24.4,"Adams, PA",23.0,"Somerset, PA",3.8
"Harford, MD",46.3,"Bedford, PA",4.0,"Sullivan, PA",7.9
"Howard, MD",77.0,"Berks, PA",11.3,"Susquehanna, PA",10.1
"Kent, MD",13.7,"Blair, PA",0.5,"Tioga, PA",1.3
"Montgomery, MD",29.8,"Bradford, PA",2.7,"Union, PA",22.6
"Prince George's, MD",16.1,"Cambria, PA",-10.4,"Wayne, PA",26.1
"Queen Anne's, MD",39.8,"Cameron, PA",-4.4,"Wyoming, PA",4.6
"St. Mary's, MD",41.2,"Carbon, PA",9.3,"York, PA",20.4
"Somerset, MD",19.3,"Centre, PA",25.7,"Accomack, VA",11.8
"Talbot, MD",20.7,"Chester, PA",24.2,"Albemarle, VA",32.3
"Washington, MD",17.3,"Clearfield, PA",14.0,"Alleghany, VA",-8.5
"Wicomico, MD",18.7,"Clinton, PA",1.4,"Amelia, VA",12.8
"Worcester, MD",29.0,"Columbia, PA",10.1,"Amherst, VA",16.6
"Baltimore, MD (city)",-1.1,"Cumberland, PA",38.2,"Appomattox, VA",19.0
"Allegany, NY",2.8,"Dauphin, PA",11.2,"Arlington, VA",-1.0
"Broome, NY",0.3,"Elk, PA",0.5,"Augusta, VA",12.0
"Cayuga, NY",5.1,"Franklin, PA",18.6,"Bath, VA",6.4
"Chemung, NY",-7.7,"Fulton, PA",12.9,"Bedford, VA",54.2
26,,,,,
