Name: “Table 1 of 1 on page 40 of 150”,Name: “Table 1 of 1 on page 40 of 150”,Name: “Table 1 of 1 on page 40 of 150”,Name: “Table 1 of 1 on page 40 of 150”,Name: “Table 1 of 1 on page 40 of 150”,Name: “Table 1 of 1 on page 40 of 150”
Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40
,,,,,
Country,Issues,Primary,Adaptation,Needs,Source
,,threats,strategies,,
"Bangkok,",Hotspot for,Changing,Flood,Increase dike,IPCC
Thailand,increasing,precipitation --,embankment,"height, canal",2007;
,hydrometeor,> River floods;,with pumped,"widths, pumping",The
,ological,Groundwater,drainage,capacity;,World
,variability;,pumping -->,system;,Mangrove,Bank
,Urban,Land,sacrificial,restoration;,2010
,growth has,subsidence,agricultural,Shoreline,
,occurred,,floodplains;,structures,
,without a,,long-term flood,,
,unified plan,,management,,
,,,plan,,
Bang Khun,Agriculture,High coastal,Individual:,Livelihood,Jarungra
Thian,and,erosion;,Various,diversification;,ttanpon
"District,",aquaculture,Groundwater,protection,Bangkok,g and
"Bangkok,",area where,pumping -->,structures;,Metropolitan,Manasb
Thailand,people don't,Land,Moving,Administration,oonphe
,have skills to,subsidence,aquaculture,has plans to,mpool
,move to,,pens landward;,manage coastal,2009
,other jobs,,Increase pond,erosion issues,
,,,dike heights;,,
,,,Raising houses;,,
,,,Community has,,
,,,stone,,
,,,breakwater,,
Ho Chi Minh,Approximate,Sea level rise,Dams and,Livelihood,The
"City,",ly 45% of,and Storm,reservoirs,diversification;,World
Vietnam,land is,surge,control river,Improved,Bank
,between 0-,,flooding; Dike,warning systems;,2010
,1m,,and sluice,zoning controls;,
,elevation;,,system,wetland,
,Subject to,,(planned);,restoration and,
,both regular,,Program of,reforestation,
,and extreme,,resettlement,,
,flooding;,,away from,,
,poorest,,rivers,,
,areas are,,,,
,those most,,,,
,prone to,,,,
,flooding,,,,
,,,,,31
